user_id,age,occupation,annual_income,number_of_dependents,existing_investments_value,existing_loans_emi_monthly,emergency_fund_months,goal_type,goal_amount,goal_timeline_years,investment_amount_monthly,risk_appetite,investment_experience,reaction_to_market_volatility,need_for_early_withdrawal,lock_in_acceptance,tax_slab,tax_saving_requirements,preferred_equity_exposure,international_exposure_pref,data_quality
1,68,Government Employee,4000000,3,2500000,148842,9,Marriage,200000,3,10000,Very Critical,Intermediate,Worried but hold,High,Yes,10,No,7,Moderate,synthetic_dummy
2,45,Salaried,600000,2,200000,25846,3,Marriage,200000,10,1000,Aggressive,Beginner,Neutral,Medium,Maybe,20,Yes,72,None,synthetic_dummy
3,45,Student,4000000,0,50000,85424,6,Wealth Creation,2500000,2,10000,Balanced,Experienced,Worried but hold,Medium,No,30,Yes,53,Moderate,synthetic_dummy
4,33,Business Owner,4000000,4,2500000,113022,9,Child Education,5000000,15,50000,Very Aggressive,Experienced,Very comfortable,Medium,Yes,5,No,90,Moderate,synthetic_dummy
5,55,Professional,300000,3,500000,2886,2,Marriage,5000000,7,1000,Aggressive,Experienced,Panic sell,High,Yes,30,Yes,66,None,synthetic_dummy
6,68,Business Owner,600000,1,2500000,14843,2,Emergency Corpus,5000000,7,10000,Aggressive,Experienced,Neutral,Medium,Maybe,5,No,74,None,synthetic_dummy
7,57,Salaried,300000,4,0,8362,9,Tax Saving,200000,15,5000,Critical,Beginner,Neutral,High,Yes,30,No,19,High,synthetic_dummy
8,60,Student,900000,3,50000,26609,1,Travel,500000,15,50000,Aggressive,Intermediate,Buy more on dips,High,No,5,Yes,73,Low,synthetic_dummy
9,20,Professional,300000,0,500000,2359,12,Travel,200000,20,2500,Aggressive,Experienced,Worried but hold,Medium,Maybe,20,No,67,High,synthetic_dummy
10,44,Government Employee,900000,1,1000000,12176,2,Travel,5000000,15,10000,Very Aggressive,Experienced,Very comfortable,Medium,Yes,5,Yes,85,High,synthetic_dummy
11,65,Professional,900000,0,200000,38028,3,Child Education,10000000,20,50000,Very Critical,Experienced,Very comfortable,High,Yes,30,No,2,None,synthetic_dummy
12,63,Student,2500000,4,500000,104608,6,Marriage,1000000,7,25000,Very Aggressive,Experienced,Neutral,Medium,No,0,No,85,Moderate,synthetic_dummy
13,30,Retiree,300000,4,50000,12278,6,Retirement,200000,7,50000,Very Aggressive,Experienced,Neutral,Low,Maybe,20,Yes,89,Moderate,synthetic_dummy
14,51,Freelancer,300000,1,200000,8283,0,Child Education,500000,2,25000,Balanced,Experienced,Worried but hold,Low,Maybe,10,Yes,49,High,synthetic_dummy
15,43,Freelancer,4000000,1,0,68485,1,House Purchase,5000000,5,100000,Aggressive,Intermediate,Buy more on dips,Medium,Yes,0,No,67,Low,synthetic_dummy
16,33,Student,1800000,2,200000,7120,3,Wealth Creation,500000,7,10000,Very Critical,Intermediate,Buy more on dips,Medium,No,20,Yes,0,High,synthetic_dummy
17,20,Government Employee,900000,3,200000,25035,12,Travel,200000,10,1000,Very Aggressive,Experienced,Neutral,Medium,No,30,No,95,None,synthetic_dummy
18,36,Retiree,2500000,4,200000,51269,9,House Purchase,5000000,20,100000,Critical,Intermediate,Very comfortable,High,Maybe,5,Yes,25,None,synthetic_dummy
19,20,Freelancer,1200000,0,50000,34423,0,Retirement,500000,2,50000,Aggressive,Experienced,Panic sell,High,Maybe,10,Yes,70,None,synthetic_dummy
20,65,Salaried,300000,0,2500000,14031,1,Emergency Corpus,10000000,3,25000,Aggressive,Intermediate,Buy more on dips,Low,Yes,5,No,75,Moderate,synthetic_dummy
21,69,Freelancer,1200000,2,0,16864,2,Emergency Corpus,200000,3,10000,Very Critical,Beginner,Buy more on dips,High,No,20,Yes,4,High,synthetic_dummy
22,31,Student,2500000,3,2500000,14212,2,Child Education,500000,3,25000,Very Aggressive,Beginner,Panic sell,High,Maybe,0,No,91,High,synthetic_dummy
23,21,Government Employee,1200000,1,200000,42786,3,Retirement,2500000,1,5000,Very Critical,Experienced,Buy more on dips,Medium,No,5,No,10,None,synthetic_dummy
24,54,Government Employee,600000,0,200000,12596,3,Retirement,5000000,20,5000,Very Critical,Experienced,Panic sell,Medium,Maybe,10,No,9,None,synthetic_dummy
25,49,Freelancer,4000000,2,2500000,169814,3,Child Education,200000,5,10000,Critical,Experienced,Neutral,Medium,Yes,5,No,23,Low,synthetic_dummy
26,28,Government Employee,300000,1,200000,415,3,Marriage,200000,5,100000,Aggressive,Beginner,Panic sell,Medium,Yes,30,No,71,None,synthetic_dummy
